"","Adult_1","Adult_2","Adult_3","Fetal_1","Fetal_2","Fetal_3","Neonatal_1","Neonatal_2","Neonatal_3"
"Raet1l",1.46353690154594,1.39209389093455,0.908863280290799,-0.987318517766281,-1.377872882317,-1.377872882317,-0.00818486761826653,-0.152914855366867,0.139669932614122
"Lrp11",0.103902805693603,-0.0789081725700527,-0.0178641225088993,0.0440112490092233,-0.0309262498694798,-0.248885915384146,0.125035631974363,0.0582011498485224,0.0454336238068676
"Pcmt1",-0.1974399375353,0.156845978903767,0.13155524109444,0.0542353887712927,-0.05292633469492,0.102066945810308,-0.09008236000611,-0.0147246094632383,-0.089530312880238
"Nup43",-0.301478634820839,-0.383974428639904,-0.269270895613228,0.379580968872688,0.453376092592229,0.777233740042756,-0.225771584122066,-0.24734905973545,-0.18234619857618
"Lats1",-0.626330928444622,-0.544047810333042,-0.540002279205927,0.15869557722144,0.210970069198424,0.0767758220331389,0.431814635436786,0.429207012077136,0.402917902016669
"Katna1",-0.116707994048411,-0.0997204260514222,-0.124502463021117,0.0690919426303171,-0.0516188674592977,0.149460031734948,0.0457839522145154,-0.0370467806785957,0.165260604679064
"Ppil4",0.0394722050834435,-0.222567837633575,-0.2152822521624,-0.00205052556149177,0.0224451126776799,-0.154557516617079,0.153021393966625,0.170878631685199,0.208640788561599
"Zc3h12d",2.51344459448843,3.24417243447905,3.2554001844346,-1.33050996755755,-0.968012392360455,-2.68354250925216,-1.50255612974043,-1.16124511552092,-1.36715109897057
"Tab2",-0.507665295519622,-0.399026845541828,-0.500135010935167,0.213311398465761,0.213079870808205,0.147943028302291,0.264583298186801,0.299884109311749,0.268025446921815
"Ust",-0.916374175666369,-0.946423654143228,-0.895791015136059,0.533034007281243,0.646275683906357,-0.312650833718527,0.768181380631847,0.549292667807046,0.574455939037692
"Samd5",-2.45784606438996,-2.11135690039575,-1.3266606335782,1.3349507448243,1.3400042975325,1.86507270409342,0.533521897225725,0.388856937812286,0.433457016875684
"Stxbp5",0.0374399643933456,0.406540119324709,0.286626560392296,-0.214365089173878,-0.174201938998566,0.296644248581984,-0.184321508936229,-0.2340460334184,-0.220316322165257
"Rab32",0.86347073071338,0.516587888210367,0.458856780298492,-0.548323491802568,-0.469171308836724,-0.423875825962838,-0.121697890603513,-0.12630512686682,-0.149541755149776
"Shprh",-0.283028560203419,-0.476373884150687,-0.684271993731662,0.32483125266652,0.325752258177237,0.314717885511433,0.277027571230277,0.139046448390729,0.0622990221095723
"Fbxo30",-0.665409852293179,-0.789008037102794,-0.823564201275409,0.47298037915924,0.5320574675484,0.0807542277842916,0.456074275373394,0.39750962688692,0.338606113919136
"Epm2a",-0.508696510202855,-1.01970870770524,0.220938298570945,0.533696045368574,0.289321453546349,-0.280104072466285,0.413595531432769,0.41672484420271,-0.0657668827469668
"Utrn",-1.24111034960667,-1.32411792055563,-1.391928628463,0.804408190248971,0.91751927123485,0.777960518473704,0.524500777863757,0.575817321263198,0.356950819540822
"Stx11",-0.957230646663545,-1.17276203492735,-1.83503397867273,1.01293505876444,0.977380198918637,0.559059565785684,0.311028631893889,0.663119585937633,0.441503618963338
"Sf3b5",0.388010911889273,0.323624729567544,0.492288289953875,0.0228908092847613,-0.250917180498349,0.121941062483081,-0.328043084307877,-0.358586025150723,-0.411209513221579
"Plagl1",-2.56410142864563,-3.14023949047048,-3.88012960000231,3.28554252350454,3.32351082216938,3.81977868824692,-0.302379181421618,-0.457744262028195,-0.0842380713525999
"Ltv1",-0.117493744884066,-0.112599599135189,-0.16857049308779,0.180888269286525,0.144427659202063,0.369503937694842,-0.0169180071102719,-0.143503700321054,-0.135734321645057
"Phactr2",-0.176709019986193,-0.606959520099705,-0.830909423779032,0.77683963292786,0.57481706669506,1.20045737758136,-0.306678003521806,-0.2029969545132,-0.427861155304345
"Fuca2",-0.259688759453822,-0.631754926224832,-0.440034950030849,0.349093478566837,0.464747196886222,0.288950962501992,-0.0752941065601389,0.120710836191786,0.183270268122809
"Pex3",0.179048267399772,0.00206799918449541,-0.332042509742662,0.11228422793184,0.141932105939763,0.134184096241533,-0.0705822141100825,0.0613286812710738,-0.228220654115735
"Adat2",-0.291940661945793,-0.132943634652944,0.229167036944284,0.033779442199565,0.187140169438687,0.443223191365981,-0.0375012337586225,-0.0962064076607008,-0.334717901930456
"Aig1",0.379877647106839,0.339834440632705,0.278313631988461,-0.178137054856579,-0.150840990929856,-0.661235171041602,-0.0168712180205466,-0.0109652481334868,0.0200239632540669
"Hivep2",0.187324969734345,-0.0539505963096207,-0.24259058782119,-0.0447531678639681,0.104556896396975,-0.052039196924607,0.100185373456676,0.0857328842579861,-0.0844665749265943
"Vta1",0.291820096686539,0.194051778289518,0.361537223284177,-0.177982242021326,-0.202418833445457,-0.0129489961229572,-0.232579706752162,-0.0633814356238496,-0.158097884294477
"Cited2",0.64631874514123,0.0838197999512929,-0.190016621611471,-0.0941672446850053,-0.284669002239219,0.185683771470292,-0.229662316964416,-0.0851180573230943,-0.0321890737396044
"Txlnb",-3.35342525676327,-3.00693609276906,-2.68266605789289,1.66539891275606,2.07212108395818,2.389593028527,0.956124604954654,0.843125651350456,1.11666412587888
"Heca",-0.0330963852336472,-0.230585434428717,-0.203591506414039,-0.148973495171802,0.0504669940283922,-0.575871549331242,0.287500015267277,0.365683759723264,0.488467601560518
"Abracl",0.0845549069167495,0.101526136054348,0.106269290017804,-0.153527320520506,-0.18636743024511,0.685482286504893,-0.167491349223991,-0.264291880740754,-0.206154638763429
"Reps1",-0.24723594197923,-0.107107085542771,-0.248480404597108,0.218729961123812,0.152798718474727,0.0380697600814655,0.108637782807812,0.0683182857390481,0.0162689238922473
